RUNNUM,WRR14,WAGT,RAINCUM,IRCUM,SOC,SON,S_CH4C,DAE
1,5681.5,13054.0,895.3,1300.0,140100.0,6554.7,99.71,124.0
2,4937.8,9999.0,1003.4,1650.0,137720.0,6340.5,188.47,148.0
3,5528.7,9698.3,1720.5,450.0,136190.0,6203.4,73.57,110.0
4,4298.9,8552.2,1743.4,1000.0,134350.0,6034.3,210.72,140.0
5,5704.0,10511.0,744.59,1000.0,132980.0,5906.5,54.07,108.0
6,3450.1,8050.8,906.59,1350.0,131100.0,5734.4,169.38,139.0
7,6457.2,11407.0,508.3,1250.0,129500.0,5591.6,50.8,116.0
8,4439.1,9160.9,1120.5,1600.0,127770.0,5427.0,165.63,147.0
9,4039.1,9431.2,261.9,1300.0,126430.0,5308.6,58.89,108.0
10,6007.2,10827.0,871.79,1500.0,124990.0,5169.4,126.75,134.0
