RUNNUM       WRR14        WAGT         RAINCUM      IRCUM        SOC          SON          S_CH4C       DAE        
     1        5681.5       13054.       895.30       1300.0      0.14010E+06   6554.7       99.710       124.00    
     2        4937.8       9999.0       1003.4       1650.0      0.13772E+06   6340.5       188.47       148.00    
     3        5528.7       9698.3       1720.5       450.00      0.13619E+06   6203.4       73.570       110.00    
     4        4298.9       8552.2       1743.4       1000.0      0.13435E+06   6034.3       210.72       140.00    
     5        5704.0       10511.       744.59       1000.0      0.13298E+06   5906.5       54.070       108.00    
     6        3450.1       8050.8       906.59       1350.0      0.13110E+06   5734.4       169.38       139.00    
     7        6457.2       11407.       508.30       1250.0      0.12950E+06   5591.6       50.800       116.00    
     8        4439.1       9160.9       1120.5       1600.0      0.12777E+06   5427.0       165.63       147.00    
     9        4039.1       9431.2       261.90       1300.0      0.12643E+06   5308.6       58.890       108.00    
    10        6007.2       10827.       871.79       1500.0      0.12499E+06   5169.4       126.75       134.00    
