RERUN_SET,TIME,DVS,TMIN,TMAX,LAI,IR,WL0,CO2C,CH4C,N2ON,NH3,SOC,SON,DOY,CROPSTA,RAIN
1,291.0,0.0,28.0,31.0,0.0,50.0,10.0,8.1239,0.0,0.0205382,0.17725,142172.0,6740.4,291.0,0.0,16.0
1,292.0,0.0,28.0,31.0,0.0,0.0,63.971,6.47,0.0,0.0196045,0.165,142164.0,6739.7,292.0,0.0,18.8
1,293.0,0.0,29.0,31.0,0.0,0.0,71.262,6.7519,0.0,0.0205451,0.20398,142157.0,6739.1,293.0,0.0,28.9
1,294.0,0.0,29.0,31.0,0.0,0.0,85.0,6.9689,0.0,0.0210816,0.23243,142148.0,6738.4,294.0,0.0,16.3
1,295.0,0.0,29.0,31.0,0.0,0.0,85.0,7.1883,0.0,0.0213461,0.24922,142140.0,6737.7,295.0,0.0,24.3
1,296.0,0.0,27.0,30.0,0.0,0.0,85.0,7.2373,0.0,0.0214704,0.26002,142131.0,6736.9,296.0,0.0,69.7
1,297.0,0.0,26.0,30.0,0.0,0.0,85.0,7.1869,0.0,0.0211035,0.24669,142122.0,6736.2,297.0,0.0,72.3
1,298.0,0.0,27.0,32.0,0.0,0.0,85.0,7.1674,0.2634,0.0207023,0.21446,142113.0,6735.5,298.0,0.0,2.6
1,299.0,0.0,27.0,31.0,0.0,0.0,74.142,7.3051,0.3507,0.0209873,0.21498,142104.0,6734.7,299.0,0.0,26.8
1,300.0,0.0,27.0,31.0,0.0165,0.0,10.0,7.3254,0.3541,0.0210373,0.22672,142095.0,6734.0,300.0,1.0,4.7
1,301.0,0.0133767,27.0,32.0,0.0191916,50.0,0.0,7.9905,0.0194,0.0209233,0.2321,142086.0,6733.2,301.0,4.0,15.5
1,302.0,0.026436,27.0,32.0,0.0222481,0.0,53.872,8.8818,0.0627,0.0196026,0.22997,142077.0,6732.5,302.0,4.0,0.0
1,303.0,0.0394953,27.0,32.0,0.0257913,0.0,38.072,8.7017,0.011,0.0188767,0.22684,142067.0,6731.6,303.0,4.0,0.0
1,304.0,0.0525546,27.0,32.0,0.0298989,0.0,23.695,8.7064,0.0513,0.0186617,0.21711,142058.0,6730.8,304.0,4.0,4.6
1,305.0,0.065614,28.0,31.0,0.0346606,50.0,11.913,8.8022,0.2078,0.0189737,0.23062,142048.0,6730.0,305.0,4.0,58.0
1,306.0,0.0792442,27.0,31.0,0.0404219,0.0,85.0,8.8218,0.3789,0.0190346,0.24086,142038.0,6729.2,306.0,4.0,15.0
1,307.0,0.0926209,28.0,32.0,0.047016,0.0,85.0,8.7747,0.3864,0.0187242,0.23422,142028.0,6728.4,307.0,4.0,4.8
1,308.0,0.10588,27.0,31.0,0.0546162,0.0,75.302,8.8283,0.4429,0.0187576,0.24082,142018.0,6727.5,308.0,4.0,47.1
1,309.0,0.11925,27.0,31.0,0.0635258,0.0,85.0,8.7829,0.4862,0.0184456,0.24151,142008.0,6726.7,309.0,4.0,21.6
1,310.0,0.13263,27.0,30.0,0.0738888,0.0,85.0,8.9867,0.2712,0.0180795,0.23193,141997.0,6725.8,310.0,4.0,105.0
1,311.0,0.14608,27.0,31.0,0.0860065,0.0,85.0,8.9079,0.2782,0.0176686,0.22596,141987.0,6725.0,311.0,4.0,53.3
1,312.0,0.15945,27.0,31.0,0.10004,0.0,85.0,8.8871,0.3175,0.0174001,0.21402,141977.0,6724.1,312.0,4.0,24.7
1,313.0,0.17283,27.0,31.0,0.11636,0.0,85.0,8.8758,0.3681,0.0171944,0.21581,141967.0,6723.3,313.0,4.0,5.7
