RUNNUM,WRR14,WAGT,RAINCUM,IRCUM,SOC,SON,S_CH4C,DAE
1,6685.3,12674.0,894.8,700.0,140960.0,6627.8,37.04,96.0
2,5436.2,9596.5,686.39,950.0,139660.0,6502.0,38.57,97.0
3,3822.1,7158.9,1671.1,250.0,138760.0,6414.3,77.65,97.0
4,4235.5,7735.8,1357.5,400.0,137580.0,6306.8,40.86,94.0
5,4080.2,8356.2,743.99,600.0,136670.0,6211.5,22.54,100.0
6,4459.0,9001.2,684.59,650.0,135530.0,6102.9,42.25,96.0
7,4413.0,8522.6,504.2,750.0,134420.0,6000.7,17.18,96.0
8,4746.7,9056.3,680.6,800.0,133320.0,5891.0,32.49,96.0
9,4345.5,8519.2,261.3,850.0,132300.0,5795.2,32.04,101.0
10,4145.6,8119.4,557.79,850.0,131390.0,5699.3,37.05,96.0
