RUNNUM       WRR14        WAGT         RAINCUM      IRCUM        SOC          SON          S_CH4C       DAE        
     1        4314.9       9884.9       894.80       400.00      0.14069E+06   6608.9       21.660       96.000    
     2        3722.9       8549.8       686.39       600.00      0.14064E+06   6604.1       17.720       97.000    
     3        5488.1       11684.       1671.1       100.00      0.14105E+06   6637.5       40.570       97.000    
     4        3051.5       8965.8       1357.5       250.00      0.14090E+06   6626.2       56.950       94.000    
     5        6930.7       14164.       743.99       350.00      0.14113E+06   6629.4       13.290       100.00    
     6        4118.1       10418.       684.59       400.00      0.14072E+06   6605.4       18.600       96.000    
     7        5921.5       12709.       504.20       450.00      0.14068E+06   6608.1       14.120       96.000    
     8        4189.8       8840.0       680.60       600.00      0.14067E+06   6604.7       18.680       96.000    
     9        4333.4       12742.       261.30       500.00      0.14065E+06   6601.1       9.2500       101.00    
    10        4648.1       10118.       557.79       550.00      0.14075E+06   6609.2       15.960       96.000    
