RUNNUM       WRR14        WAGT         RAINCUM      IRCUM        SOC          SON          S_CH4C       DAE        
     1        5084.2       10545.       894.80       450.00      0.14075E+06   6612.8       26.740       96.000    
     2        4354.9       9398.3       686.39       700.00      0.14080E+06   6615.2       41.550       97.000    
     3        5424.0       11779.       1671.1       150.00      0.14119E+06   6644.5       49.420       97.000    
     4        4261.2       9991.1       1357.5       350.00      0.14100E+06   6631.8       70.060       94.000    
     5        6648.4       14074.       743.99       400.00      0.14121E+06   6635.6       22.190       100.00    
     6        4273.3       11119.       684.59       500.00      0.14090E+06   6618.7       46.180       96.000    
     7        5719.8       12884.       504.20       500.00      0.14082E+06   6617.2       22.400       96.000    
     8        4684.1       9655.2       680.60       750.00      0.14087E+06   6615.8       50.640       96.000    
     9        5678.4       14228.       261.30       600.00      0.14075E+06   6609.1       11.670       101.00    
    10        5065.3       11054.       557.79       700.00      0.14100E+06   6622.8       33.670       96.000    
