RUNNUM       WRR14        WAGT         RAINCUM      IRCUM        SOC          SON          S_CH4C       DAE        
     1        5499.8       11352.       894.80       1150.0      0.14152E+06   6658.2       71.840       96.000    
     2        3676.5       6813.2       686.39       1400.0      0.14081E+06   6577.5       140.08       97.000    
     3        3330.9       6722.1       1671.1       550.00      0.14013E+06   6500.7       93.090       97.000    
     4        3443.1       6466.6       1357.5       750.00      0.13936E+06   6418.1       126.56       94.000    
     5        3151.1       6547.9       743.99       850.00      0.13879E+06   6349.2       91.200       100.00    
     6        3225.9       6603.0       684.59       1000.0      0.13816E+06   6277.1       132.41       96.000    
     7        3349.5       6652.0       504.20       1150.0      0.13753E+06   6204.2       97.980       96.000    
     8        3402.4       6665.4       680.60       1200.0      0.13688E+06   6131.1       141.11       96.000    
     9        3098.3       6450.1       261.30       1300.0      0.13634E+06   6064.8       87.470       101.00    
    10        3335.1       6451.6       557.79       1200.0      0.13567E+06   5989.5       121.14       96.000    
