RERUN_SET,TIME,DVS,TMIN,TMAX,LAI,IR,WL0,CO2C,CH4C,N2ON,NH3,SOC,SON,DOY,CROPSTA,RAIN
1,291.0,0.0,33.0,36.0,0.0,50.0,10.0,8.1239,0.0,0.0205382,0.17725,142172.0,6740.4,291.0,0.0,16.0
1,292.0,0.0,33.0,36.0,0.0,0.0,59.938,6.6894,0.0,0.0214242,0.22042,142164.0,6739.7,292.0,0.0,18.8
1,293.0,0.0,34.0,36.0,0.0,0.0,63.446,7.2228,0.0,0.0235341,0.3093,142156.0,6739.0,293.0,0.0,28.9
1,294.0,0.0,34.0,36.0,0.0,0.0,75.514,7.441,0.0,0.0245412,0.36892,142146.0,6738.2,294.0,0.0,16.3
1,295.0,0.0,34.0,36.0,0.0,0.0,74.823,7.4729,0.4653,0.0250786,0.41139,142136.0,6737.4,295.0,0.0,24.3
1,296.0,0.0,32.0,35.0,0.0,0.0,84.07,7.5362,0.7424,0.0253721,0.44348,142126.0,6736.5,296.0,0.0,69.7
1,297.0,0.0,31.0,35.0,0.0,0.0,85.0,7.5175,0.7667,0.0250214,0.44302,142116.0,6735.7,297.0,0.0,72.3
1,298.0,0.0,32.0,37.0,0.0,0.0,85.0,7.519,1.0776,0.0245978,0.36825,142105.0,6734.8,298.0,0.0,2.6
1,299.0,0.0,32.0,36.0,0.0,0.0,69.201,7.5151,1.2232,0.0249797,0.36199,142095.0,6733.9,299.0,0.0,26.8
1,300.0,0.0,32.0,36.0,0.0165,0.0,10.0,7.4957,1.4615,0.0250638,0.38311,142085.0,6733.1,300.0,1.0,4.7
1,301.0,0.00962134,32.0,37.0,0.018436,50.0,0.0,15.885,0.51,0.0189923,0.38748,142074.0,6732.2,301.0,4.0,15.5
1,302.0,0.0186413,32.0,37.0,0.0204399,0.0,42.293,10.565,0.5796,0.0248476,0.3964,142057.0,6730.8,302.0,4.0,0.0
1,303.0,0.0276613,32.0,37.0,0.0226883,50.0,19.859,9.0877,0.5939,0.0243175,0.40041,142045.0,6729.8,303.0,4.0,0.0
1,304.0,0.0366814,32.0,37.0,0.025184,0.0,49.987,9.1557,1.1382,0.0244231,0.4095,142034.0,6728.9,304.0,4.0,4.6
1,305.0,0.0457014,33.0,36.0,0.0279542,0.0,31.68,9.1191,1.0582,0.0236868,0.40573,142022.0,6727.9,305.0,4.0,58.0
1,306.0,0.0547214,32.0,36.0,0.0310292,0.0,69.517,9.1118,1.1435,0.0235883,0.39995,142011.0,6726.9,306.0,4.0,15.0
1,307.0,0.0643427,33.0,37.0,0.03467,0.0,64.77,9.0668,1.2582,0.023638,0.4107,141999.0,6726.0,307.0,4.0,4.8
1,308.0,0.0727614,32.0,36.0,0.0382294,0.0,49.62,8.9928,1.4371,0.0238897,0.43354,141988.0,6725.0,308.0,4.0,47.1
1,309.0,0.0823827,32.0,36.0,0.042715,0.0,79.442,8.9735,1.2598,0.0229912,0.42396,141976.0,6724.0,309.0,4.0,21.6
1,310.0,0.092004,32.0,35.0,0.0477269,0.0,81.448,8.9812,1.322,0.0227598,0.4102,141964.0,6723.0,310.0,4.0,105.0
1,311.0,0.10223,32.0,36.0,0.0536769,0.0,85.0,8.944,1.4539,0.0225856,0.41623,141952.0,6722.1,311.0,4.0,53.3
1,312.0,0.11185,32.0,36.0,0.0599749,0.0,85.0,8.9093,1.6594,0.0224007,0.37567,141941.0,6721.1,312.0,4.0,24.7
1,313.0,0.12147,32.0,36.0,0.067012,0.0,85.0,8.8646,1.7442,0.022255,0.38012,141929.0,6720.1,313.0,4.0,5.7
1,314.0,0.13109,32.0,37.0,0.0748748,0.0,68.753,9.0493,1.574,0.0219911,0.38527,141917.0,6719.1,314.0,4.0,0.0
1,315.0,0.14011,33.0,37.0,0.083111,0.0,46.921,8.9907,1.6957,0.0218736,0.39652,141906.0,6718.2,315.0,4.0,0.3
1,316.0,0.14853,32.0,36.0,0.0916437,0.0,25.23,8.9632,1.6671,0.0213824,0.40117,141894.0,6717.2,316.0,4.0,22.2
1,317.0,0.15815,32.0,36.0,0.1024,0.0,24.716,8.943,1.6761,0.0209505,0.39355,141882.0,6716.2,317.0,4.0,72.2
1,318.0,0.16777,32.0,36.0,0.11441,0.0,75.173,8.9116,1.7378,0.0206716,0.39891,141870.0,6715.2,318.0,4.0,32.9
