RUNNUM,WRR14,WAGT,RAINCUM,IRCUM,SOC,SON,S_CH4C,DAE
1,5229.7,13631.0,895.3,2000.0,141080.0,6615.2,226.74,124.0
2,5559.4,10209.0,1003.4,2450.0,139650.0,6464.8,437.93,148.0
3,4385.4,8274.8,1720.5,1050.0,138660.0,6361.4,202.86,110.0
4,5304.6,9310.2,1743.4,1600.0,137360.0,6225.4,387.62,140.0
5,3969.8,7740.0,744.59,1550.0,136540.0,6135.6,182.18,108.0
6,4208.7,8261.8,906.59,2150.0,135350.0,6008.5,360.83,139.0
7,4363.7,8466.4,508.3,2000.0,134440.0,5909.7,226.56,116.0
8,4803.3,8704.0,1120.5,2300.0,133210.0,5780.5,413.76,147.0
9,3589.5,7398.2,261.9,2000.0,132450.0,5696.1,174.81,108.0
10,4756.5,9062.5,871.79,2100.0,131440.0,5584.8,334.59,134.0
