RUNNUM       WRR14        WAGT         RAINCUM      IRCUM        SOC          SON          S_CH4C       DAE        
     1        3804.0       6740.5       894.80       550.00      0.14072E+06   6610.0       28.990       99.000    
     2        3981.9       9400.7       828.99       1350.0      0.14109E+06   6632.1       176.53       109.00    
     3        5659.9       11324.       1671.1       350.00      0.14133E+06   6647.9       89.330       95.000    
     4        3377.2       9117.3       1474.0       700.00      0.14098E+06   6626.9       142.51       104.00    
     5        4698.6       7673.3       743.09       350.00      0.14088E+06   6618.0       21.640       96.000    
     6        2926.9       9309.7       724.49       1050.0      0.14100E+06   6629.0       132.14       104.00    
     7        2791.0       4101.7       504.20       450.00      0.14058E+06   6603.0       16.350       97.000    
     8        2578.6       8279.9       764.70       1200.0      0.14081E+06   6617.0       161.22       109.00    
     9        1444.6       3629.5       261.30       450.00      0.14065E+06   6607.5       10.950       97.000    
    10        4630.0       10738.       608.59       1300.0      0.14117E+06   6638.9       146.86       104.00    
